seller_id,password,session_count,plan_id
a8a3561a-b20d-421c-ada0-8c7872ffbd28,test,0,1
b8074882-4bbf-4de2-bc7b-6358980f7668,test,0,1
262d5fe1-c483-4fdb-b5a7-8097909a6ced,test,0,1
67d3bfaa-4d5c-401a-af45-e22d17e5f4f9,test,0,1
44bebaa1-d12e-4d7e-93ce-657cabe0ae40,test,0,1
7a0db560-d488-4880-8aa4-461128d12cd3,test,0,2
714556bd-4ece-4237-b8a6-f9afa274797f,test,0,3
8056b8f1-523b-433e-82e1-6a8ffa20fd40,test,0,1
0feac56d-b036-47b5-b9ac-c450bf29650a,test,0,3
16fd3dea-7daf-40e0-b629-983818b2e20f,test,0,2
1e64c9f6-281a-4910-af72-96e9b5c03176,test,0,2
443362c5-9053-459b-92fd-7e19db4ef52b,test,0,2
4be07a2b-6045-44a5-9ab6-935f4a1e86c1,test,0,1
711cf533-a051-46a4-9c6f-e22e5d993c0c,test,0,3
2d9205f9-cb97-44e7-bf16-ca2f533fc8df,test,0,2
696875c2-e7bb-4447-8d46-cea71fd6c292,test,0,1
375c30d2-23f3-4b5a-8464-0050ac8775a7,test,0,1
b019bfee-0336-4125-8e26-767b4ea10af7,test,0,2
2ae0e344-335e-48dc-a979-b6841551cb58,test,0,3
893d77a8-083c-4f11-ace0-9dd8602f6561,test,0,1
